Ngày,Đài,G.8,G.7,G.6,G.5,G.4,G.3,G.2,G.1,ĐB
06/05/2006,Long An,73,880,080742717052,6658,07961175731308666653323059645148386,6702987306,70299,20156,03196
07/05/2006,Kiên Giang,78,281,494998983177,2345,98312616868090163392035815584563819,7737833355,94739,94309,07567
07/05/2006,Tiền Giang,20,140,897229507507,6372,24881801006030777128877291660506104,9569161849,74334,52780,81943
07/05/2006,Đà Lạt,05,065,430542891590,0716,65558375582271670758842680983701049,1110931932,61441,19241,69297
08/05/2006,Cà Mau,97,759,795705786768,5520,05084388201629021257620078719996956,9602072967,60018,32075,92054
08/05/2006,Hồ Chí Minh,76,738,617549053707,2757,74116008726924817635632979665667617,8458394614,40813,35177,42068
08/05/2006,Đồng Tháp,69,728,157888788132,2623,28549841039458169047740383097380661,9500758855,62509,87734,91113
09/05/2006,Bạc Liêu,28,327,924530903451,4094,01450972416872942189259314543611988,9374161106,37837,59089,54697
09/05/2006,Bến Tre,51,170,658378681631,9487,89009669927066868298474465152153317,1596814111,74099,56524,92921
09/05/2006,Vũng Tàu,17,770,604093886688,7468,04324530695411674093148074276633662,4868848902,61038,18655,50322
10/05/2006,Cần Thơ,21,860,085137405273,1632,70015260032277147824699855992422261,0489302191,03785,51936,06866
10/05/2006,Sóc Trăng,42,726,518353691011,3411,32582619790970764156277897467101323,3704609850,89197,01501,90824
10/05/2006,Đồng Nai,88,792,744628839046,0393,23731126007920356073318990159575522,9024660602,76670,13865,95672
11/05/2006,An Giang,03,355,327599948382,9442,10358786944472041712035184761283278,6289765243,61128,52695,78112
11/05/2006,Bình Thuận,02,581,727002815331,7406,97857171281736744638952922715356836,5956322942,62313,81135,55276
11/05/2006,Tây Ninh,53,648,514901682852,7081,09609871179395072566390539902322421,1158724175,96660,18063,60923
12/05/2006,Bình Dương,10,813,332172056320,8457,92514714256622888688142018775644136,7290322747,30113,44937,26268
12/05/2006,Trà Vinh,95,324,699123990859,1870,04582170539687241918539061263793540,3898990350,37973,24568,04946
12/05/2006,Vĩnh Long,63,896,394256363568,5607,57849967739425101691998126724065536,4898528971,23124,94116,88313
13/05/2006,Bình Phước,56,601,817729654960,7361,51531796731573416001909420526894319,2104298923,24071,79320,12893
13/05/2006,Hậu Giang,60,099,817460334499,6700,74821314381628819452348015681864330,6614601980,97285,02457,51033
13/05/2006,Hồ Chí Minh,48,017,886611730461,9249,59411335851295409205247916100765338,3074373179,61875,71728,59248
13/05/2006,Long An,00,165,765805767873,4728,38159852493298642617180048189623446,7786231295,33812,02188,40739
14/05/2006,Kiên Giang,59,347,736135572769,8852,78249557481536775390365704211062599,3664762058,59907,31078,66008
14/05/2006,Tiền Giang,74,282,043509332919,9283,92027340110479115826992032315733754,0419481285,77315,98892,27747
14/05/2006,Đà Lạt,34,022,691930964251,7952,70510282346091241143727517122991265,2031098970,33615,04899,65842
15/05/2006,Cà Mau,00,687,331057908005,6573,68660419331987909634804660572616492,2449284820,40497,21750,52490
15/05/2006,Hồ Chí Minh,00,633,633922554383,8742,14814283705552855876164483788370144,6195616234,18878,34612,54533
15/05/2006,Đồng Tháp,65,703,564650447103,5593,72277103419912147416842687902766739,3853379419,65245,23857,91525
16/05/2006,Bạc Liêu,52,206,482297590977,8900,23316833298919991018642214789556750,7390870927,01174,36140,73152
16/05/2006,Bến Tre,13,425,841004096893,0321,14176592965522290364021820682268303,0387008208,45446,75135,30106
16/05/2006,Vũng Tàu,41,399,965695846111,5478,84956425043928305309263829532328865,3504251102,74401,22570,17141
17/05/2006,Cần Thơ,30,338,188111161914,5130,45850490396271650005816300718044296,4669634103,99424,19475,04979
17/05/2006,Sóc Trăng,34,361,388390499442,7163,04419706929715371333927162500160272,0950068188,77019,40910,74887
17/05/2006,Đồng Nai,04,551,508916881998,1032,84851640074508230872716042301748779,2646475455,18970,29321,81470
18/05/2006,An Giang,85,694,664484970546,5230,45909813493489417165391912810833622,3685767384,33622,58404,04826
18/05/2006,Bình Thuận,03,263,568185218597,5083,51849907784183420511381478218408092,1352957358,36433,72775,50879
18/05/2006,Tây Ninh,02,071,380532469593,1076,26715091259249806585017304583107030,7129731727,51853,58638,82807
19/05/2006,Bình Dương,83,697,911779341646,9610,32527479728892653051504992762366759,0827961376,79385,17473,67541
20/05/2006,Bình Phước,20,961,417808715918,6921,49203621681011775993350815417808464,5125950484,63621,22930,64381
20/05/2006,Hậu Giang,06,439,496870217875,8747,76200559501290393744964887822450412,4909016796,00954,92257,74194
20/05/2006,Hồ Chí Minh,32,181,141294367652,8547,75606023293838136635085404347668620,3169883791,95877,10076,78894
20/05/2006,Long An,41,409,934956901310,7727,82512721822403248993714198022225554,6254580327,85476,83882,20693
21/05/2006,Kiên Giang,25,259,474891989099,0991,43971966658297224734243155750592840,2644581081,63911,10174,09124
21/05/2006,Tiền Giang,32,087,560001505805,9308,29014005410088116335379298440235228,7445049695,59963,14120,07545
21/05/2006,Đà Lạt,77,469,353151459282,9568,35431284103278114936395836224067920,9252657029,26853,16906,11696
22/05/2006,Cà Mau,06,004,266997746943,6529,36332082788404395020931453652689503,4808454803,82065,08631,66169
22/05/2006,Hồ Chí Minh,69,328,678565421586,3654,30310691297728099658078682813018466,6298825104,45221,41963,00981
22/05/2006,Đồng Tháp,53,239,939647693572,7950,20169649099431848691544874962745379,4700092818,77372,42101,96200
23/05/2006,Bạc Liêu,08,233,438156434308,6011,70397514070040090304468743984807504,3319819893,92530,90420,14184
23/05/2006,Bến Tre,81,472,766845597814,0781,56777279940454208096763316001175165,5035862492,12221,94588,31369
23/05/2006,Vũng Tàu,72,170,849694997359,2727,33238074688893604032708396399185956,2804306280,63719,26880,38950
24/05/2006,Cần Thơ,95,734,059896382634,4396,43703652505947514433298423420505458,6956848800,68457,59087,10352
24/05/2006,Sóc Trăng,83,209,337912959065,5695,19569507039295316438357858541097145,6071729068,48486,27176,30721
24/05/2006,Đồng Nai,49,753,180214922237,8130,60842484429732170788431973066028284,7125578332,25888,51791,80149
25/05/2006,An Giang,65,494,238090351652,8984,93375395208447327867862745489153563,7213507878,06726,34431,05525
25/05/2006,Bình Thuận,06,230,412941770605,6284,88842044503708267449881946475713245,4022510579,96498,73415,61446
25/05/2006,Tây Ninh,04,841,819817330063,6048,76295136557591476696254570293696189,1661252226,27625,17846,79376
26/05/2006,Bình Dương,63,554,216134438319,5795,06359949264206430694784362795708071,4692108163,07280,23177,14385
26/05/2006,Trà Vinh,11,954,161107858935,9429,01868171358503836725601605365617631,3662295524,79111,86949,09877
26/05/2006,Vĩnh Long,38,678,310430036898,3469,77250074715701481942788343869660074,0304365733,72557,10083,96064
27/05/2006,Bình Phước,02,138,960090856865,9254,64821544155939246506515110661076838,3213704362,20435,58018,57962
27/05/2006,Hậu Giang,23,641,727381497493,0691,41487912798890237116056499516829689,1631937353,31605,27742,30797
27/05/2006,Hồ Chí Minh,85,598,268657535200,0903,63842698190353401015279971499376199,7029451041,70979,69343,48801
27/05/2006,Long An,01,708,364713618456,2722,27173307158485196734457011339187145,9481310474,83213,00168,23675
28/05/2006,Kiên Giang,49,552,044259123319,5089,17156989135267455926713002215011310,9715028832,40146,61023,71991
28/05/2006,Tiền Giang,28,752,194087720686,6941,41449704802745467522289222657020244,8389309906,73057,33883,27807
28/05/2006,Đà Lạt,93,280,258919360071,5660,90569411210546323229423093391289047,5457044980,96995,52925,47903
29/05/2006,Cà Mau,22,849,821333012694,1042,32137418572154709200764712920822127,5442880538,10273,70354,52549
29/05/2006,Hồ Chí Minh,86,116,744791491808,4549,71664861720682707883513928268570296,8218834340,45947,28194,36292
29/05/2006,Đồng Tháp,47,634,600728961393,8148,72376540688750280999627567357542092,7721508655,77123,46107,28260
30/05/2006,Bạc Liêu,79,499,504371443963,2196,47903874665876858754969722540105599,1056917337,60145,36698,87547
30/05/2006,Bến Tre,21,952,071970125308,9845,75881436316534010916377268156466287,0423368494,08625,27849,69541
30/05/2006,Vũng Tàu,32,822,372168451821,9569,12095404664257371391501455365457982,1605033321,87223,07401,82701
31/05/2006,Cần Thơ,48,321,036342057639,0870,20244159310027679522990587129209051,5659910058,28658,85329,70385
31/05/2006,Sóc Trăng,22,674,844894736948,9780,06533164980102493832993277719932733,1360626636,10476,49407,51108
31/05/2006,Đồng Nai,06,817,517738986006,1917,42180319630030704956779416156371518,8961253547,06081,88620,45444
01/06/2006,An Giang,80,522,735855725659,9953,15729765665262122750350861318952908,1653212756,75308,03953,42399
01/06/2006,Bình Thuận,37,937,316588247189,2303,11317648109595989317172128507681029,8263661345,39332,15789,78660
01/06/2006,Tây Ninh,96,855,998368656479,5400,34087049421895590063865251586209756,2817642717,08317,19110,40026
02/06/2006,Bình Dương,44,820,768558977615,6556,85409001091315586503898320552801935,3597274638,25060,34959,58541
03/06/2006,Bình Phước,18,689,078329569725,7090,24908691918798418243121170705344054,2366991872,97941,68936,92771
03/06/2006,Hậu Giang,39,693,411728360124,4602,71458826163937350105390367862492964,9498139756,20263,96288,23968
03/06/2006,Hồ Chí Minh,59,254,988659912358,7828,31867299758911356789546643774300496,5996984091,06236,81085,63562
03/06/2006,Long An,68,965,175902154729,0380,94137493184122975692976115392108438,9413216330,60175,40912,22680
04/06/2006,Kiên Giang,91,688,796744158312,4025,68584014221117214060318513227029132,6172543502,94450,85366,92387
04/06/2006,Tiền Giang,10,269,634595058663,1666,13985870324248979430160451452275083,7695574457,56187,53698,26050
04/06/2006,Đà Lạt,77,526,049015505406,6693,52267577538823655125164782721257334,1333929493,78164,40412,46742
05/06/2006,Cà Mau,72,815,856733736820,7780,44613748777511971548659195841705112,3371586957,92330,04738,55366
05/06/2006,Hồ Chí Minh,48,347,107110621063,8985,83593907715524670057436944809379207,1817758178,35697,91946,31195
05/06/2006,Đồng Tháp,85,065,553507060530,3081,28037029144840476435324512527223927,7695186788,50367,13681,23926
06/06/2006,Bạc Liêu,79,403,269157977012,7009,14855877549422155466033385855775525,8799854552,69638,50808,75449
06/06/2006,Bến Tre,21,915,776389649350,2757,39378154965636595977583049877553226,1065069070,52948,51220,72824
06/06/2006,Vũng Tàu,05,747,228075453899,7175,03375727879152728809089273694486722,0363842098,02960,30612,50277
07/06/2006,Cần Thơ,55,764,700067646795,2158,55837090146657424088737426665950389,6688575378,17217,33853,01782
07/06/2006,Sóc Trăng,90,928,086031160114,8886,68522742290321392814773870341020124,1560544733,61390,46350,23274
07/06/2006,Đồng Nai,30,192,117892476501,1572,34842746944219986440638187189239487,3798856651,86461,96098,78620
08/06/2006,An Giang,12,195,315929656633,2278,80326691297707249637600410033263397,3273515837,08866,54127,79687
08/06/2006,Bình Thuận,65,802,491073544203,3860,87829257497771713785553582783539656,5425826473,11547,00350,43523
08/06/2006,Tây Ninh,36,680,529284001749,5365,18678995478041774883162984205972655,1144620702,89929,75446,75469
09/06/2006,Bình Dương,61,562,326292640490,5570,24542935386063706029432859934942030,6271658974,19999,76121,89714
09/06/2006,Trà Vinh,27,490,799686584337,0914,17908611497821092741210732631564758,0436816061,57590,96709,45690
09/06/2006,Vĩnh Long,76,131,006763014966,9343,34475478549102768885782185866520392,0180539679,82875,66213,71653
10/06/2006,Bình Phước,99,234,149022965006,8913,72227701084170295214426332445252214,2800961662,77542,86641,10579
10/06/2006,Hậu Giang,71,084,674743411709,4189,39083148685465117838195823331493234,5841638683,09529,01643,36342
10/06/2006,Hồ Chí Minh,08,193,228645252876,0813,07489423713789588725666965243102213,2444147715,21918,78378,29325
10/06/2006,Long An,21,842,104882798530,6193,31831206171366032354551715841315411,8089029162,22793,99249,19868
11/06/2006,Kiên Giang,68,077,158360311405,0679,96737228883347686128481887236145602,4498602004,06379,56414,39832
11/06/2006,Tiền Giang,95,561,030422879957,5045,89196831803786315680730863425220359,2875736908,95444,27153,82664
11/06/2006,Đà Lạt,82,523,855713765990,7123,85023921963272602315962138328025086,7022077000,60540,16257,12416
13/06/2006,Bạc Liêu,41,311,924307311585,7925,75237627705069955926941441837201636,8651303658,65301,11580,31111
13/06/2006,Bến Tre,26,908,171383492849,3446,20877847125864496420365496061086782,3361198291,24964,91995,86279
13/06/2006,Vũng Tàu,77,144,368536053670,8834,72469871538666890708863824524227071,9847882075,76552,19815,91131
14/06/2006,Cần Thơ,73,093,532525643996,2421,52379182420693156697146358785277954,8089403032,86055,14966,32904
14/06/2006,Sóc Trăng,68,080,286775322081,8783,21067333003622660029900461453900067,7973849475,58168,14044,69677
14/06/2006,Đồng Nai,44,156,021818475518,9271,78530326839621951570856226317018743,2043395076,56181,74042,65391
15/06/2006,An Giang,16,618,203474578261,4233,95293716651434305310110106298790941,9395367541,57859,59449,25364
15/06/2006,Bình Thuận,59,760,632042922697,8417,73375432448289949671927704528154429,0379713405,67969,56218,01340
15/06/2006,Tây Ninh,48,164,788851198497,9813,34711854466330079916894452214924821,2978320829,15298,06079,04748
16/06/2006,Bình Dương,92,117,667315291448,9330,99600000387063963065691469982700284,5737863389,98798,21830,54196
16/06/2006,Trà Vinh,14,778,026337715095,9201,13389944591559708445822427477215402,5326844943,11333,68943,22344
16/06/2006,Vĩnh Long,98,549,069815177704,7755,84574406754508315333859010524363120,8107404464,38041,28271,71237
17/06/2006,Bình Phước,68,288,356816859940,8462,20556262531304136026378959922355154,4492881358,05460,12893,06061
17/06/2006,Hậu Giang,65,633,029279731017,5183,37315320047548074060091556765880607,4469448008,32560,10930,68874
17/06/2006,Hồ Chí Minh,10,634,485430922822,8036,41778605760046308166990520470325588,1281307403,90059,47343,52284
17/06/2006,Long An,15,583,056070028661,9880,69864389753643946398258020072958773,9973545824,27408,14225,55475
18/06/2006,Kiên Giang,53,219,169612130055,8419,46361243092736238058695903052155066,4522671293,37827,28148,73454
18/06/2006,Tiền Giang,92,339,227196996487,0167,46456536142844562438408507576643889,7718970505,10846,58114,78256
18/06/2006,Đà Lạt,89,310,907407265256,5462,41891358638088009899230103767676050,3389857283,43891,39959,42734
19/06/2006,Cà Mau,30,283,860620035369,1894,96136744539995676519320770439743776,1814185947,54097,52865,06049
19/06/2006,Hồ Chí Minh,06,675,706357399032,2621,51963079250535890961399701716486848,8837112437,46039,40880,60103
19/06/2006,Đồng Tháp,49,758,716603910351,7743,37426038806566858599068441671261297,3816950109,84075,03336,32629
20/06/2006,Bạc Liêu,53,654,359586907543,4370,52082857620791426247604572849719263,3443881439,54893,16317,90796
20/06/2006,Bến Tre,62,905,371029584617,8195,29126987871599241364435265418148196,6139700384,28342,28332,59410
20/06/2006,Vũng Tàu,66,492,854697874447,4288,33398524026488337183745644981543487,9241034710,38630,10033,81526
21/06/2006,Cần Thơ,94,193,990455692490,0517,40222151873628227404839998350388065,1316283689,19629,30037,69052
21/06/2006,Sóc Trăng,05,773,311095425142,5771,27762834797380589695317350766407723,7928843113,85268,88463,83784
21/06/2006,Đồng Nai,14,908,495863912625,1270,79586212266186809821764827129107068,9590804058,57403,64006,73427
22/06/2006,An Giang,02,521,894050499521,5515,38600980477949477540439179337130891,1655985427,50202,96492,31473
22/06/2006,Bình Thuận,71,360,295973955970,0433,62011249143232880115703973320909712,7311095600,01462,44158,92630
22/06/2006,Tây Ninh,27,185,170141066386,9271,46313660481546128734576912765160522,7368570268,02009,67526,22343
23/06/2006,Bình Dương,51,845,322510792491,1245,03982142726771835681679817093531339,7779902089,92645,80316,86321
23/06/2006,Trà Vinh,44,783,215879819382,1035,30771660818896202733185332447230734,4854331429,49592,97783,83643
23/06/2006,Vĩnh Long,29,417,574145123589,7499,43321319673992069470271892720325015,9062017808,91112,17508,46460
24/06/2006,Bình Phước,58,317,298780508483,7255,34599760495972872106341164283435586,7091748604,95157,48576,76933
24/06/2006,Hậu Giang,35,368,759922666271,4950,95476445823649235243472803143617954,0670767424,40488,10183,21083
24/06/2006,Hồ Chí Minh,83,965,610242173620,8351,36905022798881622976394527560816679,0832580222,54622,65233,68666
24/06/2006,Long An,46,844,632036908055,7603,76896640075248870081481727438013112,4819082451,80270,81799,72319
25/06/2006,Kiên Giang,88,685,248526091406,0487,38860472772663642119233987628747328,2729731519,22602,52683,78323
25/06/2006,Tiền Giang,78,391,589051919433,5519,11644994431496486462819428061683550,9979929655,77114,93274,02793
25/06/2006,Đà Lạt,35,073,261729937183,1438,12696347863834649274397196147725256,3193700017,50800,54242,97071
26/06/2006,Cà Mau,40,974,297353426782,5971,54581852133989641862332373101195453,5471270005,40987,29513,39757
26/06/2006,Hồ Chí Minh,19,273,757923537397,1803,22029244291121312120863369517288491,4621472784,12667,69265,15400
26/06/2006,Đồng Tháp,78,799,740516337194,8356,94255917251852205979581216792328017,5184673768,72949,12603,56640
27/06/2006,Bạc Liêu,42,697,316248073368,9011,93958818559390818686019504522702894,8822287048,59433,28166,27401
27/06/2006,Bến Tre,10,975,228074885647,9948,28904354116821898490641442925593877,1531687860,10319,53998,01754
27/06/2006,Vũng Tàu,55,684,647741340156,1506,32140861000154004253278385336091628,0962115219,80844,15215,46955
28/06/2006,Cần Thơ,57,220,448532187549,2956,66024980790124671277528686790541146,2649480851,81372,52150,55671
28/06/2006,Sóc Trăng,64,541,787271282653,3096,62179429965170828372221950882868972,7177515268,18786,28236,28237
28/06/2006,Đồng Nai,62,363,392578726976,3146,25694336082107203876461674119566665,0098951273,28111,49481,68922
29/06/2006,An Giang,42,562,337316493196,7770,43346744877181551294134192093779027,5204731909,89439,86643,52858
29/06/2006,Bình Thuận,85,955,974208779986,0306,64696477118245043190491821319292128,0513612038,51071,94498,08492
29/06/2006,Tây Ninh,46,011,044239596165,0825,59288677670723304204963076638353962,1900605047,24338,12759,16437
30/06/2006,Bình Dương,32,457,185552925268,8483,92205587946552754886724191893472329,1240534790,46785,68782,01608
30/06/2006,Trà Vinh,80,901,054977391771,5034,22545837759923110489110490355929310,5376069231,92338,69820,18904
30/06/2006,Vĩnh Long,61,092,073603294803,0873,51069386098891509141681042782390368,1327895790,63399,60772,31058
01/07/2006,Bình Phước,15,834,719439870355,4869,90742602429852264714963018194281861,1571627818,69327,81094,96154
01/07/2006,Hậu Giang,74,718,396628637671,4019,69357058747434263014818308391567891,0918980768,97624,18174,93316
01/07/2006,Hồ Chí Minh,58,997,296468394445,2365,24817567964283705512249892498956178,0904778886,69409,24993,89448
01/07/2006,Long An,18,946,096818073835,0681,17661872403200613800546096164468855,8404560062,15531,38453,55947
02/07/2006,Kiên Giang,64,615,496456868774,6045,96905406221722635755099147994708728,9841729881,23952,56428,79110
02/07/2006,Tiền Giang,32,745,070645140681,1837,74891623214468553718592673241407022,7656951921,78478,26457,56541
02/07/2006,Đà Lạt,15,798,655741726036,1963,97527752900427214880061042581201899,3627605567,02590,76256,14875
03/07/2006,Cà Mau,94,253,472477921441,1326,47429136365702482024373356412118497,0030495661,48594,80269,09817
03/07/2006,Hồ Chí Minh,68,466,778770415456,8144,27450608046531426490889706552677101,7344498000,70018,88744,30758
03/07/2006,Đồng Tháp,96,026,847387541597,0313,22107672471693611438355666021509942,1937048031,19361,62289,69026
04/07/2006,Bạc Liêu,09,033,433290215828,4535,19560026742905743225570569100892613,4563336898,15592,78071,08904
04/07/2006,Bến Tre,48,815,961052648120,0751,55295215397378309047597566102085561,8529339810,66595,23932,46605
04/07/2006,Vũng Tàu,97,734,830939522783,9335,79772695605640600307727965616367115,8388928037,58446,25889,32745
05/07/2006,Cần Thơ,53,275,513711548769,1015,64916782910816124637530019504448569,8625367298,40279,18003,21997
05/07/2006,Sóc Trăng,94,971,154252005522,9407,96126942877478626918670999560136097,8521832102,32964,26545,95621
05/07/2006,Đồng Nai,37,011,648432129753,7934,06482092694946060732006496170884036,5335375225,27507,33669,63949
06/07/2006,An Giang,25,469,880984578140,6187,17662985677194212583455617524485872,8479915572,45788,29597,13889
06/07/2006,Bình Thuận,47,479,443167147835,2341,10950919580920654659820441313636417,4253051209,04955,76125,59545
06/07/2006,Tây Ninh,83,488,090938236079,1108,59757893874887302785749390586065815,6202815843,08007,96736,57471
07/07/2006,Bình Dương,40,212,997794671469,8160,35396491431996242140834458424817127,8410891792,31023,03729,54631
07/07/2006,Trà Vinh,65,145,954475843972,9201,10739777812260754866830783200720401,3240003414,09857,12128,57573
07/07/2006,Vĩnh Long,37,697,954623277748,3350,53403786788223333575765751957230659,2826083832,38875,42658,74334
08/07/2006,Bình Phước,93,686,628706329127,6508,98255566776610756919713060909137824,1255396513,68708,91317,12889
08/07/2006,Hậu Giang,54,350,167683734768,0308,73505506250226268436893998525119881,0084248918,48590,41788,91976
08/07/2006,Hồ Chí Minh,80,145,206992228957,3349,53489725374340459064946712336404189,0575958991,57174,06043,26814
08/07/2006,Long An,71,678,465109671212,3941,73159450479000616465231516930794879,5628607524,49653,32095,31971
09/07/2006,Kiên Giang,27,349,197497625474,0484,41571371041661498042439664031192810,0466286108,78444,25238,78933
09/07/2006,Tiền Giang,31,428,755787110319,4276,96418796283694047528990932286407630,7612271650,56144,23905,05740
09/07/2006,Đà Lạt,21,149,813630808267,8431,18736764062178123181889159834240843,2680296352,85844,26536,28217
10/07/2006,Cà Mau,22,030,242390802728,1343,01737309778450106730764995862659085,5000569953,42635,54129,25731
10/07/2006,Hồ Chí Minh,63,911,307807887382,2889,56934879937817143964503642603397461,5816052919,99816,87310,97211
10/07/2006,Đồng Tháp,18,819,789511841844,8495,21617457807252724698675317749797862,8903087412,63212,29504,07060
11/07/2006,Bạc Liêu,16,360,128050640692,4623,87284025694810209716278918053041174,3960984563,63580,84442,78498
11/07/2006,Bến Tre,87,787,795705626317,2903,74704503708487670489925693068440937,5536725518,43407,91563,06549
11/07/2006,Vũng Tàu,52,488,498471265413,5602,19865877828153039461639097158382316,8799282943,37577,57832,75496
12/07/2006,Cần Thơ,08,496,092509492607,1862,28819725476833799020901461311260319,2057880764,66953,70591,26573
12/07/2006,Sóc Trăng,95,403,406288632484,1607,55523957964439158968177817305088822,4789284319,37899,51665,36989
12/07/2006,Đồng Nai,08,973,694995167664,2438,20057286977362241642575930337234762,5473827558,48387,71020,71801
13/07/2006,An Giang,92,559,372391521539,3822,66202850192780777695675965448640385,5185689432,57078,64493,02937
13/07/2006,Bình Thuận,94,176,328344156435,2645,39980681970703099566610833061380367,4073011263,17050,52360,83845
13/07/2006,Tây Ninh,20,780,307795616294,2914,39388288725987201096724918784410521,3546044843,40871,66650,21600
14/07/2006,Bình Dương,09,961,306018376255,0038,47506429524881025668528134339686649,2608930944,39918,03669,29929
14/07/2006,Trà Vinh,36,310,907840712318,8283,14611730978107759318420607750429412,4806744594,60897,79076,54338
14/07/2006,Vĩnh Long,65,597,090815733606,6380,76900520398051858753626865383664546,0260540408,51517,88232,75001
15/07/2006,Bình Phước,20,419,908474943903,1271,77613385587903502721665255685799074,3531803973,62989,16766,52198
15/07/2006,Hậu Giang,46,394,212202211613,9549,18772170933666662437571627346735005,5236641185,44933,07503,67110
15/07/2006,Hồ Chí Minh,05,158,592682941726,2449,69319712327542595275324745602388222,8046691146,39582,06735,05656
15/07/2006,Long An,65,139,428329246816,0617,55116861777411008472104454927630444,5858247992,18551,12603,74371
16/07/2006,Kiên Giang,59,758,262080726389,0680,44874145824542267282729930625529690,8832664062,02837,17613,91205
16/07/2006,Tiền Giang,61,337,239454335876,7731,15219527555637433689923637291335377,4398532244,87169,09110,57137
16/07/2006,Đà Lạt,31,132,971892928147,5684,24457517792196374516541794689642830,1890522025,10425,13835,67066
17/07/2006,Cà Mau,40,134,126914655846,6788,82907434674025000143549030510407074,1176795774,60678,65017,60818
17/07/2006,Hồ Chí Minh,96,522,688671282080,3611,96332109090033725994854583860987460,0395080136,06798,15086,84067
17/07/2006,Đồng Tháp,05,937,816523980730,1644,36421383113450577580072278417843813,3563102288,78462,71890,58024
18/07/2006,Bạc Liêu,25,909,609154058072,7664,77493536457047323429858953607883008,1960774785,74821,91838,20623
18/07/2006,Bến Tre,53,257,839146365283,4673,90004402921975281201545799980713694,9489172490,24298,78027,53939
18/07/2006,Vũng Tàu,59,735,382933314766,5263,11269017381788951337762700790050388,4766623176,48643,83824,32563
19/07/2006,Cần Thơ,99,655,384202194877,9850,14175344599684872540417144340810006,4701786182,32890,59000,21519
19/07/2006,Sóc Trăng,55,953,681281316426,2744,85471569774527183642577048263819443,4617535512,57510,64992,94885
19/07/2006,Đồng Nai,78,278,043767386870,6665,29099970498216491334418197244177546,5024310433,86888,95079,99834
20/07/2006,An Giang,42,893,055300055045,0808,37407715865258718224325104459967649,1805517807,36504,67157,39560
20/07/2006,Bình Thuận,04,433,504413434561,2628,47403860232630604859810960919595030,9447343706,17487,83000,98610
20/07/2006,Tây Ninh,07,010,785211250580,4403,26166471008611062353262242655858497,7179910944,57000,23811,15188
21/07/2006,Bình Dương,96,115,603278839855,4202,72683896726331496873077690095027980,1209605557,20667,91545,13393
21/07/2006,Trà Vinh,85,189,681762207872,5002,36193754037424021659105605813709131,8325256848,52189,86495,42622
21/07/2006,Vĩnh Long,41,734,655165533933,5536,15905361265114285409344511046494892,7266312170,08857,31909,31004
22/07/2006,Bình Phước,03,915,407710612831,2420,24616875200191515477913660708434151,8906803067,99578,99438,56759
22/07/2006,Hậu Giang,09,766,808857161536,8138,02636168380539451295716957019338737,7421679878,91403,73616,46527
22/07/2006,Hồ Chí Minh,33,524,978821369095,9905,91861357546230637821504854728015540,9872392981,98255,62948,16028
22/07/2006,Long An,42,442,860346764353,9679,17320779072538021990742761673103140,5788567388,01444,90404,65821
23/07/2006,Kiên Giang,46,691,112608618101,5799,54818609882943786232370345754328972,8038397489,11662,02168,75324
23/07/2006,Tiền Giang,48,975,704127724146,7945,48109516496442172138177031347120838,8512581260,72842,93334,16629
23/07/2006,Đà Lạt,18,297,902811051951,0109,23097379325104920986064702473946667,1347188814,96210,34197,66255
